2,4,8,2,6,10,2,8,3,11,6,15,6,2,6,2,2,12,2,5,2,2,2,2,2,2,2,7,2,9,2,2,4,4,2,2,2,2,4,29,2,9,11,3,16,2,4,8,16,2,2,2,5,3,4,2,4,21,2,27,10,14,2,8,12,7,8,2,12,5,2,2,22,2,5,2,60,6,22,3
7,5,10,19,16,6,11,13,11,15,8,8,5,2,6,9,10,32,8,12,2,2,5,6,2,2,2,7,2,35,12,10,4,18,2,6,2,4,2,11,8,7,4,2,13,4,5,11,5,2,2,4,5,3,5,3,10,8,2,5,19,4,2,5,5,5,3,2,5,9,5,3,22,2,4,6,6,4,8,2
7,36,34,3,14,6,13,16,3,8,2,7,11,2,10,6,14,30,36,5,2,2,6,34,2,2,2,2,2,26,21,5,7,4,2,6,2,2,2,2,2,2,2,2,14,3,9,23,8,2,12,3,2,6,13,3,2,16,6,35,44,54,3,79,33,8,34,2,10,46,16,2,5,2,3,4,4,4,12,7
9,5,2,2,2,9,9,5,3,7,14,8,7,9,9,6,2,20,5,2,2,2,2,8,2,2,11,7,6,5,7,2,4,13,2,7,2,11,2,11,8,2,8,6,25,2,6,13,11,2,54,2,2,5,15,4,2,19,3,27,22,48,79,7,47,25,60,2,5,18,45,3,4,23,3,4,4,4,12,20
10,23,2,14,2,6,8,9,23,5,2,19,14,13,9,6,7,12,17,7,2,2,2,7,2,2,2,2,2,13,14,5,4,15,2,16,2,7,2,12,2,2,9,19,28,2,4,7,9,2,5,2,3,6,17,4,2,13,2,24,22,5,8,21,44,34,38,2,20,3,6,2,9,11,5,4,3,3,22,34
20,39,18,15,7,9,2,11,23,8,2,12,14,11,8,6,12,12,21,9,2,2,2,6,15,2,2,2,2,6,9,6,8,7,2,7,2,31,28,15,15,2,6,12,55,2,3,6,11,2,44,25,3,6,8,3,4,17,2,19,25,6,8,50,49,32,41,2,47,5,4,4,17,3,9,5,10,2,8,53
10,5,22,12,6,18,9,2,18,8,13,13,9,9,10,2,6,2,2,5,2,3,2,16,18,2,9,7,2,7,13,9,12,2,2,2,7,10,16,24,2,3,18,4,58,2,2,11,8,18,25,88,5,7,4,6,2,6,2,33,41,2,17,87,42,23,33,2,61,6,6,5,38,7,4,4,7,4,2,56
2,22,19,15,8,4,2,2,18,5,12,2,7,13,2,6,7,13,4,5,2,8,2,23,2,2,9,7,2,17,11,24,19,7,2,24,7,2,8,10,24,6,5,13,14,3,3,14,17,55,5,32,5,2,10,16,3,22,2,21,15,2,19,44,7,6,10,3,70,7,4,2,35,6,7,12,12,22,2,27
2,24,10,23,8,8,2,2,11,5,2,3,7,13,10,6,6,15,11,10,2,9,4,11,7,4,6,7,2,9,7,13,2,18,2,14,26,10,18,17,40,2,7,22,10,2,6,13,13,13,4,34,6,6,5,16,2,35,2,4,26,5,13,10,2,7,24,2,51,13,3,5,32,4,9,55,6,20,2,43
10,2,13,15,7,9,2,2,5,11,13,15,2,14,10,2,20,7,2,2,2,9,2,10,6,20,2,2,6,2,7,19,18,20,2,36,13,10,10,23,2,12,7,30,18,2,8,15,27,13,6,17,7,9,3,3,2,18,2,12,27,5,5,7,20,7,33,2,37,7,7,4,32,10,10,63,5,5,22,33
