2,2,2,2,2,2,2,2,2,11,2,2,9,8,10,13,2,4,2,2,4,2,36,7,2,14,2,8,2,8,30,5,13,4,4,38,2,40,2,2,4,11,2,21,3,3,3,13,7,7,5,10,18,6,6,8,85,3,4,35,12,5,6,3,5,9,3,15,12,4,5,17,11,14,17,3,4,3,6,6
2,2,5,11,2,2,6,8,2,36,2,5,8,21,10,9,6,7,12,19,4,2,48,27,13,3,6,12,4,4,26,23,28,7,25,22,2,59,8,2,6,23,2,14,4,11,4,4,3,4,2,25,31,4,8,12,3,24,11,41,13,3,8,2,20,17,35,18,4,6,18,43,12,63,18,3,9,7,5,5
8,9,2,2,9,2,2,2,2,42,7,2,4,8,15,20,28,17,15,30,29,6,30,10,21,14,23,40,2,8,16,39,8,20,34,39,2,32,37,2,22,5,2,37,9,16,9,7,26,5,2,14,15,5,6,16,3,36,13,29,7,4,4,2,16,46,56,57,4,21,32,14,39,10,11,5,32,9,25,4
8,6,2,6,2,13,5,8,2,23,7,7,5,9,29,15,42,15,21,27,32,33,18,7,27,33,19,34,4,17,15,17,23,28,35,2,34,28,6,2,24,2,2,11,12,17,6,6,64,4,5,10,14,5,4,22,3,33,14,9,12,3,4,2,14,46,46,73,5,12,41,8,47,6,29,5,18,13,23,8
2,2,2,6,2,4,6,8,2,9,14,2,5,27,4,9,37,13,4,21,31,34,12,2,34,12,14,35,4,10,19,33,20,21,35,31,45,5,6,20,25,2,2,7,7,9,5,4,67,8,8,8,9,2,13,19,5,24,16,4,20,3,8,4,19,10,68,65,4,24,35,8,45,2,34,2,16,24,7,6
8,2,8,6,9,2,2,8,26,9,9,4,2,24,4,9,37,13,9,26,31,34,19,7,30,7,24,40,4,17,45,38,24,13,36,11,54,2,8,4,21,2,2,23,2,7,7,6,66,13,2,7,8,5,12,20,3,16,3,8,16,3,2,2,11,6,62,63,16,22,5,4,7,2,32,10,5,6,8,3
8,6,4,2,9,5,6,8,10,25,7,2,3,13,4,37,32,12,8,28,24,33,44,10,30,12,20,29,11,29,48,19,23,4,36,26,37,2,20,29,18,7,2,10,6,3,5,8,65,11,3,7,10,4,9,23,7,6,4,2,13,4,5,2,4,2,23,59,16,5,11,14,3,4,10,4,6,9,12,12
3,2,8,6,2,2,6,16,2,6,9,10,2,16,12,9,28,12,8,2,19,6,22,8,29,9,14,19,7,25,20,5,37,4,4,2,8,2,31,19,14,3,2,40,2,2,2,5,59,9,2,5,3,16,14,23,5,15,8,2,9,4,2,2,13,4,4,56,14,3,8,32,3,12,13,2,7,6,6,26
3,2,2,7,2,2,2,17,2,12,9,8,3,14,14,31,23,14,8,56,9,2,18,8,5,8,2,7,7,34,9,10,19,4,4,43,9,2,50,13,4,2,3,36,2,3,7,9,57,7,3,6,2,36,25,19,7,2,13,2,2,4,7,2,22,2,6,54,9,4,4,4,10,29,11,2,2,13,10,9
2,2,8,2,9,5,2,13,2,7,7,3,4,2,9,38,18,5,9,47,6,2,8,2,6,12,2,7,22,19,3,2,7,5,2,10,9,2,6,25,6,9,4,13,2,2,3,5,26,5,3,8,3,20,27,19,3,2,13,2,4,2,4,3,13,2,9,49,11,21,8,40,7,17,9,3,5,7,8,5
